path,link-prot,true-dates,comment
data/1887/prot-1887-janmar-ak--016.xml,https://betalab.kb.se/prot-1887-janmar-ak--16/_view,1887-03-02,
data/1887/prot-1887-majjul-fk--022.xml,https://betalab.kb.se/prot-1887-majjul-fk--22/_view,1887-06-28,
data/1888/prot-1888--ak--023.xml,https://betalab.kb.se/prot-1888--ak--23/_view,1888-03-17 - 1888-03-20,fixed
data/1888/prot-1888--fk--027.xml,https://betalab.kb.se/prot-1888--fk--27/_view,1888-04-20,
data/1889/prot-1889--ak--047.xml,https://betalab.kb.se/prot-1889--ak--47/_view,1889-05-08,
data/1889/prot-1889--fk--035.xml,https://betalab.kb.se/prot-1889--fk--35/_view,1889-05-01,
data/1890/prot-1890--ak--011.xml,https://betalab.kb.se/prot-1890--ak--11/_view,1890-03-01,
data/1890/prot-1890--fk--038.xml,https://betalab.kb.se/prot-1890--fk--38/_view,1890-05-16,
data/1891/prot-1891--ak--044.xml,https://betalab.kb.se/prot-1891--ak--44/_view,1891-05-04,
data/1891/prot-1891--fk--020.xml,https://betalab.kb.se/prot-1891--fk--20/_view,1891-04-18 - 1891-04-21,fixed
data/1892/prot-1892--ak--043.xml,https://betalab.kb.se/prot-1892--ak--43/_view,1892-05-12,
data/1892/prot-1892--fk--019.xml,https://betalab.kb.se/prot-1892--fk--19/_view,1892-03-29 - 1892-04-01,fixed
data/1893/prot-1893--ak--040.xml,https://betalab.kb.se/prot-1893--ak--40/_view,1893-04-29 - 1893-05-01,fixed
data/1893/prot-1893--fk--029.xml,https://betalab.kb.se/prot-1893--fk--29/_view,1893-04-19 - 1893-04-21,fixed
data/1894/prot-1894--ak--018.xml,https://betalab.kb.se/prot-1894--ak--18/_view,1894-03-15 - 1894-03-16,fixed
data/1894/prot-1894--fk--005.xml,https://betalab.kb.se/prot-1894--fk--5/_view,1894-02-09 - 1894-02-18,fixed
data/1895/prot-1895--ak--001.xml,https://betalab.kb.se/prot-1895--ak--1/_view,1895-01-16 - 1895-01-17,fixed
data/1895/prot-1895--fk--031.xml,https://betalab.kb.se/prot-1895--fk--31/_view,1895-05-08,
data/1896/prot-1896--ak--025-01.xml,https://betalab.kb.se/prot-1896--ak--25/_view,1896-03-28 - 1896-04-02,fixed
data/1896/prot-1896--fk--002.xml,https://betalab.kb.se/prot-1896--fk--2/_view,1896-01-21 - 1896-01-22,fixed
data/1897/prot-1897--ak--044.xml,https://betalab.kb.se/prot-1897--ak--44/_view,1897-05-12,
data/1897/prot-1897--fk--013.xml,https://betalab.kb.se/prot-1897--fk--13/_view,1897-03-17 - 1897-03-19,fixed
data/1898/prot-1898--ak--019.xml,https://betalab.kb.se/prot-1898--ak--19/_view,1898-03-22 - 1898-03-25,fixed
data/1898/prot-1898--fk--034.xml,https://betalab.kb.se/prot-1898--fk--34/_view,1898-05-08 - 1898-05-09,fixed
data/1899/prot-1899--ak--004.xml,https://betalab.kb.se/prot-1899--ak--4/_view,1899-01-30 - 1899-02-04,fixed
data/1899/prot-1899--fk--006.xml,https://betalab.kb.se/prot-1899--fk--6/_view,1899-02-10 - 1899-02-17,fixed
data/1900/prot-1900--ak--023.xml,https://betalab.kb.se/prot-1900--ak--23/_view,1900-03-16,
data/1900/prot-1900--fk--020.xml,https://betalab.kb.se/prot-1900--fk--20/_view,1900-03-21,
data/1901/prot-1901--ak--038.xml,https://betalab.kb.se/prot-1901--ak--38/_view,1901-05-17,
data/1901/prot-1901--fk--007.xml,https://betalab.kb.se/prot-1901--fk--7/_view,1901-02-12 - 1901-02-13,fixed
data/1902/prot-1902--ak--048.xml,https://betalab.kb.se/prot-1902--ak--48/_view,1902-05-10,
data/1902/prot-1902--fk--027.xml,https://betalab.kb.se/prot-1902--fk--27/_view,1902-04-26,
data/1903/prot-1903--ak--009.xml,https://betalab.kb.se/prot-1903--ak--9/_view,1903-02-03 - 1903-03-04,fixed
data/1903/prot-1903--fk--016.xml,https://betalab.kb.se/prot-1903--fk--16/_view,1903-02-21,
data/1904/prot-1904--ak--042.xml,https://betalab.kb.se/prot-1904--ak--42/_view,1904-04-20,
data/1904/prot-1904--fk--017.xml,https://betalab.kb.se/prot-1904--fk--17/_view,1904-02-17,
data/1905/prot-1905--ak--008.xml,https://betalab.kb.se/prot-1905--ak--8/_view,1905-02-04,
data/1905/prot-1905--fk--047.xml,https://betalab.kb.se/prot-1905--fk--47/_view,1905-05-16,
data/1906/prot-1906--ak--004.xml,https://betalab.kb.se/prot-1906--ak--4/_view,1906-01-23 - 1906-01-24,fixed
data/1906/prot-1906--fk--019.xml,https://betalab.kb.se/prot-1906--fk--19/_view,1906-03-02 - 1906-03-03,fixed
data/1907/prot-1907--ak--062.xml,https://betalab.kb.se/prot-1907--ak--62/_view,1907-05-21,
data/1907/prot-1907--fk--022.xml,https://betalab.kb.se/prot-1907--fk--22/_view,1907-03-28,
data/1908/prot-1908--ak--027.xml,https://betalab.kb.se/prot-1908--ak--27/_view,1908-03-14,
data/1908/prot-1908--fk--053.xml,https://betalab.kb.se/prot-1908--fk--53/_view,1908-05-15,
data/1909/prot-1909--ak--034.xml,https://betalab.kb.se/prot-1909--ak--34/_view,1909-03-25 - 1909-03-27,fixed
data/1909/prot-1909--fk--025.xml,https://betalab.kb.se/prot-1909--fk--25/_view,1909-04-02,
data/1910/prot-1910--ak--040.xml,https://betalab.kb.se/prot-1910--ak--40/_view,1910-05-04 - 1910-05-06,fixed
data/1910/prot-1910--fk--006.xml,https://betalab.kb.se/prot-1910--fk--6/_view,1910-02-10 - 1910-02-12,fixed
data/1911/prot-1911--ak--045.xml,https://betalab.kb.se/prot-1911--ak--45/_view,1911-05-11,
data/1911/prot-1911--fk--014.xml,https://betalab.kb.se/prot-1911--fk--14/_view,1911-03-18 - 1911-03-21,fixed
data/1912/prot-1912--ak--031.xml,https://betalab.kb.se/prot-1912--ak--31/_view,1912-04-18,
data/1912/prot-1912--fk--016.xml,https://betalab.kb.se/prot-1912--fk--16/_view,1912-03-13 - 1912-03-15,fixed
data/1913/prot-1913--ak--026.xml,https://betalab.kb.se/prot-1913--ak--26/_view,1913-04-02 - 1913-04-03,fixed
data/1913/prot-1913--fk--003.xml,https://betalab.kb.se/prot-1913--fk--3/_view,1913-01-29 - 1913-02-05,fixed
data/1914/prot-1914-b-ak--074.xml,https://betalab.kb.se/prot-1914-b-ak--74/_view,1914-08-28,
data/1914/prot-1914-b-fk--030.xml,https://betalab.kb.se/prot-1914-b-fk--30/_view,1914-07-08,
data/1915/prot-1915--ak--009.xml,https://betalab.kb.se/prot-1915--ak--9/_view,1915-01-26,
data/1915/prot-1915--fk--055.xml,https://betalab.kb.se/prot-1915--fk--55/_view,1915-04-27,
data/1916/prot-1916--ak--021.xml,https://betalab.kb.se/prot-1916--ak--21/_view,1916-02-15,
data/1916/prot-1916--fk--077.xml,https://betalab.kb.se/prot-1916--fk--77/_view,1916-05-27,
data/1917/prot-1917--ak--085.xml,https://betalab.kb.se/prot-1917--ak--85/_view,1917-12-18,
data/1917/prot-1917--fk--024.xml,https://betalab.kb.se/prot-1917--fk--24/_view,1917-03-21,
data/1918/prot-1918--ak--048.xml,https://betalab.kb.se/prot-1918--ak--48/_view,1918-05-02,
data/1918/prot-1918--fk--054.xml,https://betalab.kb.se/prot-1918--fk--54/_view,1918-06-14,
data/1919/prot-1919--ak--038.xml,https://betalab.kb.se/prot-1919--ak--38/_view,1919-04-15,
data/1919/prot-1919--fk--037.xml,https://betalab.kb.se/prot-1919--fk--37/_view,1919-05-14 - 1919-05-16,fixed
data/1920/prot-1920--ak--030.xml,https://betalab.kb.se/prot-1920--ak--30/_view,1920-03-17,
data/1920/prot-1920--fk--045.xml,https://betalab.kb.se/prot-1920--fk--45/_view,1920-05-11,
data/1921/prot-1921--ak--038.xml,https://betalab.kb.se/prot-1921--ak--38/_view,1921-05-04,
data/1921/prot-1921--fk--026.xml,https://betalab.kb.se/prot-1921--fk--26/_view,1921-04-20 - 1921-04-22,fixed
data/1922/prot-1922--ak--018.xml,https://betalab.kb.se/prot-1922--ak--18/_view,1922-03-15 - 1922-03-17,fixed
data/1922/prot-1922--fk--022.xml,https://betalab.kb.se/prot-1922--fk--22/_view,1922-04-01,
data/1923/prot-1923--ak--039.xml,https://betalab.kb.se/prot-1923--ak--39/_view,1923-05-23,
data/1923/prot-1923--fk--023.xml,https://betalab.kb.se/prot-1923--fk--23/_view,1923-04-05 - 1923-04-06,fixed
data/1924/prot-1924--ak--034.xml,https://betalab.kb.se/prot-1924--ak--34/_view,1924-05-10 - 1924-05-13,fixed
data/1924/prot-1924--fk--040.xml,https://betalab.kb.se/prot-1924--fk--40/_view,1924-05-24 - 1924-05-27,fixed
data/1925/prot-1925--ak--002.xml,https://betalab.kb.se/prot-1925--ak--2/_view,1925-01-12 - 1925-01-14,fixed
data/1925/prot-1925--fk--006.xml,https://betalab.kb.se/prot-1925--fk--6/_view,1925-01-28 - 1925-02-01,fixed
data/1926/prot-1926--ak--003.xml,https://betalab.kb.se/prot-1926--ak--3/_view,1926-01-18,
data/1926/prot-1926--fk--028.xml,https://betalab.kb.se/prot-1926--fk--28/_view,1926-04-23 - 1926-04-24,fixed
data/1927/prot-1927--ak--031.xml,https://betalab.kb.se/prot-1927--ak--31/_view,1927-05-14,
data/1927/prot-1927--fk--032.xml,https://betalab.kb.se/prot-1927--fk--32/_view,1927-05-19,
data/1928/prot-1928--ak--034.xml,https://betalab.kb.se/prot-1928--ak--34/_view,1928-05-12,
data/1928/prot-1928--fk--037.xml,https://betalab.kb.se/prot-1928--fk--37/_view,1928-05-29,
data/1929/prot-1929--ak--038.xml,https://betalab.kb.se/prot-1929--ak--38/_view,1929-05-21 - 1929-05-22,fixed
data/1929/prot-1929--fk--006.xml,https://betalab.kb.se/prot-1929--fk--6/_view,1929-01-31 - 1929-02-06,fixed
data/1930/prot-1930--ak--026.xml,https://betalab.kb.se/prot-1930--ak--26/_view,1930-04-09 - 1930-04-17,fixed
data/1930/prot-1930--fk--044.xml,https://betalab.kb.se/prot-1930--fk--44/_view,1930-06-03,
data/1931/prot-1931--ak--015.xml,https://betalab.kb.se/prot-1931--ak--15/_view,1931-02-27 - 1931-02-28,fixed
data/1931/prot-1931--fk--039.xml,https://betalab.kb.se/prot-1931--fk--39/_view,1931-05-20,
data/1932/prot-1932--ak--031.xml,https://betalab.kb.se/prot-1932--ak--31/_view,1932-04-06,
data/1932/prot-1932--fk--047.xml,https://betalab.kb.se/prot-1932--fk--47/_view,1932-06-08,
data/1933/prot-1933--ak--044.xml,https://betalab.kb.se/prot-1933--ak--44/_view,1933-06-03 - 1933-06-07,fixed
data/1933/prot-1933--fk--034.xml,https://betalab.kb.se/prot-1933--fk--34/_view,1933-05-06 - 1933-05-09,fixed
data/1934/prot-1934--ak--024.xml,https://betalab.kb.se/prot-1934--ak--24/_view,1934-04-10 - 1934-04-11,fixed
data/1934/prot-1934--fk--007.xml,https://betalab.kb.se/prot-1934--fk--7/_view,1934-02-07 - 1934-02-09,fixed
data/1935/prot-1935--ak--007.xml,https://betalab.kb.se/prot-1935--ak--7/_view,1935-01-26 - 1935-01-29,fixed
data/1935/prot-1935--fk--032.xml,https://betalab.kb.se/prot-1935--fk--32/_view,1935-05-15 - 1935-05-7,fixed
data/1936/prot-1936--ak--021.xml,https://betalab.kb.se/prot-1936--ak--21/_view,1936-04-01,
data/1936/prot-1936--fk--024.xml,https://betalab.kb.se/prot-1936--fk--24/_view,1936-04-16,
data/1937/prot-1937--ak--014.xml,https://betalab.kb.se/prot-1937--ak--14/_view,1937-02-27,
data/1937/prot-1937--fk--006.xml,https://betalab.kb.se/prot-1937--fk--6/_view,1937-01-26 - 1937-01-27,fixed
data/1938/prot-1938--ak--026.xml,https://betalab.kb.se/prot-1938--ak--26/_view,1938-04-05 - 1938-04-08,fixed
data/1938/prot-1938--fk--021.xml,https://betalab.kb.se/prot-1938--fk--21/_view,1938-03-18,
data/1939/prot-1939--ak--001.xml,https://betalab.kb.se/prot-1939--ak--1/_view,1939-01-10,
data/1939/prot-1939--fk--041.xml,https://betalab.kb.se/prot-1939--fk--41/_view,1939-06-13 - 1939-06-17,fixed
data/1940/prot-1940--ak--031.xml,https://betalab.kb.se/prot-1940--ak--31/_view,1940-05-14 - 1940-05-18,fixed
data/1940/prot-1940--fk--004.xml,https://betalab.kb.se/prot-1940--fk--4/_view,1940-01-20 - 1940-01-23,fixed
data/1941/prot-1941--ak--050.xml,https://betalab.kb.se/prot-1941-hšst-ak--50/_view,1941-12-03 - 1941-12-10,fixed
data/1941/prot-1941--fk--009.xml,https://betalab.kb.se/prot-1941--fk--9/_view,1941-02-18 - 1941-02-19,fixed
data/1942/prot-1942--ak--007.xml,https://betalab.kb.se/prot-1942--ak--7/_view,1942-02-10 - 1942-02-14,fixed
data/1942/prot-1942--fk--028.xml,https://betalab.kb.se/prot-1942-hšst-fk--28/_view,1942-11-02 - 1942-11-03,fixed
data/1943/prot-1943--ak--012.xml,https://betalab.kb.se/prot-1943--ak--12/_view,1943-03-30 - 1943-03-31,fixed
data/1943/prot-1943--fk--031.xml,https://betalab.kb.se/prot-1943-hšst-fk--31/_view,1943-11-09 - 1943-11-17,fixed
data/1944/prot-1944--ak--009.xml,https://betalab.kb.se/prot-1944--ak--9/_view,1944-03-07 - 1944-03-11,fixed
data/1944/prot-1944--fk--015.xml,https://betalab.kb.se/prot-1944--fk--15/_view,1944-04-25 - 1944-05-02,fixed
data/1945/prot-1945--ak--017.xml,https://betalab.kb.se/prot-1945--ak--17/_view,1945-04-19,
data/1945/prot-1945--fk--004.xml,https://betalab.kb.se/prot-1945--fk--4/_view,1945-01-18 - 1945-01-22,fixed
data/1946/prot-1946--ak--025.xml,https://betalab.kb.se/prot-1946--ak--25/_view,1946-06-14 - 1946-06-18,fixed
data/1946/prot-1946--fk--001.xml,https://betalab.kb.se/prot-1946--fk--1/_view,1946-01-10 - 1946-01-16,fixed
data/1947/prot-1947--ak--002.xml,https://betalab.kb.se/prot-1947--ak--2/_view,1947-01-17,
data/1947/prot-1947--fk--019.xml,https://betalab.kb.se/prot-1947--fk--19/_view,1947-04-26 - 1947-05-02,fixed
data/1948/prot-1948--ak--011.xml,https://betalab.kb.se/prot-1948--ak--11/_view,1948-03-13 - 1948-03-16,fixed
data/1948/prot-1948--fk--011.xml,https://betalab.kb.se/prot-1948--fk--11/_view,1948-03-13 - 1948-03-17,fixed
data/1949/prot-1949--ak--024.xml,https://betalab.kb.se/prot-1949-hšst-ak--24/_view,1949-10-17 - 1949-10-18,
data/1949/prot-1949--fk--031.xml,https://betalab.kb.se/prot-1949-hšst-fk--31/_view,1949-12-06 - 1949-12-07,
data/1950/prot-1950--ak--012.xml,https://betalab.kb.se/prot-1950--ak--12/_view,1950-03-23 - 1950-03-29,
data/1950/prot-1950--fk--006.xml,https://betalab.kb.se/prot-1950--fk--6/_view,1950-02-11 - 1950-02-15,
data/1951/prot-1951--ak--029.xml,https://betalab.kb.se/prot-1951-extrahšst-ak--29/_view,1951-10-27 - 1951-10-31,
data/1951/prot-1951--fk--023.xml,https://betalab.kb.se/prot-1951--fk--23/_view,1951-05-26,
data/1952/prot-1952--ak--004.xml,https://betalab.kb.se/prot-1952--ak--4/_view,1952-01-30 - 1952-02-06,
data/1952/prot-1952--fk--031.xml,https://betalab.kb.se/prot-1952-hšst-fk--31/_view,1952-12-06 - 1952-12-10,
data/1953/prot-1953--ak--027.xml,https://betalab.kb.se/prot-1953-hšst-ak--27/_view,1953-11-03 - 1953-11-04,
data/1953/prot-1953--fk--004.xml,https://betalab.kb.se/prot-1953--fk--4/_view,1953-01-31 - 1953-02-04,
data/1954/prot-1954--ak--031.xml,https://betalab.kb.se/prot-1954-hšst-ak--31/_view,1954-11-27 - 1954-12-01,
data/1954/prot-1954--fk--001.xml,https://betalab.kb.se/prot-1954--fk--1/_view,1954-01-11 - 1954-01-15,
data/1955/prot-1955--ak--016.xml,https://betalab.kb.se/prot-1955--ak--16/_view,1955-04-29 - 1955-05-04,
data/1955/prot-1955--fk--004.xml,https://betalab.kb.se/prot-1955--fk--4/_view,1955-02-04 - 1955-02-09,
data/1956/prot-1956--ak--019.xml,https://betalab.kb.se/prot-1956--ak--19/_view,1956-05-18 - 1956-05-23,
data/1956/prot-1956--fk--009.xml,https://betalab.kb.se/prot-1956--fk--9/_view,1956-03-02 - 1956-03-07,
data/1957/prot-1957--ak--002.xml,https://betalab.kb.se/prot-1957--ak--2/_view,1957-01-21 - 1957-01-22,
data/1957/prot-1957--fk--027.xml,https://betalab.kb.se/prot-1957-hšst-fk--27/_view,1957-11-22 - 1957-11-27,
data/1958/prot-1958-a-fk--002.xml,https://betalab.kb.se/prot-1958-a-fk--2/_view,1958-01-21 - 1958-01-22,
data/1958/prot-1958-b-ak--013.xml,https://betalab.kb.se/prot-1958-b-ak--13/_view,1958-11-28 - 1958-12-03,
data/1959/prot-1959--ak--007.xml,https://betalab.kb.se/prot-1959--ak--7/_view,1959-03-06 - 1959-03-11,
data/1959/prot-1959--fk--006.xml,https://betalab.kb.se/prot-1959--fk--6/_view,1959-02-27 - 1959-03-04,
data/1960/prot-1960--ak--025.xml,https://betalab.kb.se/prot-1960-hšst-ak--25/_view,1960-11-08 - 1960-11-09,
data/1960/prot-1960--fk--019.xml,https://betalab.kb.se/prot-1960--fk--19/_view,1960-05-23 - 1960-05-25,
data/1961/prot-1961--ak--030.xml,https://betalab.kb.se/prot-1961-hšst-ak--30/_view,1961-11-10 - 1961-11-15,
data/1961/prot-1961--fk--020.xml,https://betalab.kb.se/prot-1961--fk--20/_view,1961-05-17,
data/1962/prot-1962--ak--030.xml,https://betalab.kb.se/prot-1962-hšst-ak--30/_view,1962-11-06 - 1962-11-09,
data/1962/prot-1962--fk--014.xml,https://betalab.kb.se/prot-1962--fk--14/_view,1962-03-30 - 1962-04-04,
data/1963/prot-1963--ak--024.xml,https://betalab.kb.se/prot-1963--ak--24/_view,1963-05-20 - 1963-05-22,
data/1963/prot-1963--fk--011.xml,https://betalab.kb.se/prot-1963--fk--11/_view,1963-03-15 - 1963-03-20,
data/1964/prot-1964--ak--003.xml,https://betalab.kb.se/prot-1964--ak--3/_view,1964-01-21 - 1964-01-22,
data/1964/prot-1964--fk--008.xml,https://betalab.kb.se/prot-1964--fk--8/_view,1964-02-18 - 1964-02-21,
data/1965/prot-1965--ak--013.xml,https://betalab.kb.se/prot-1965--ak--13/_view,1965-03-23 - 1965-03-24,
data/1965/prot-1965--fk--003.xml,https://betalab.kb.se/prot-1965--fk--3/_view,1965-01-19,
data/1966/prot-1966--ak--016.xml,https://betalab.kb.se/prot-1966--ak--16/_view,1966-04-13,
data/1966/prot-1966--fk--037.xml,https://betalab.kb.se/prot-1966-hšst-fk--37/_view,1966-12-08 - 1966-12-09,
data/1967/prot-1967--ak--038.xml,https://betalab.kb.se/prot-1967-hšst-ak--38/_view,1967-10-26 - 1967-10-27,
data/1967/prot-1967--fk--046.xml,https://betalab.kb.se/prot-1967-hšst-fk--46/_view,1967-11-23 - 1967-11-24,
data/1968/prot-1968--ak--041.xml,https://betalab.kb.se/prot-1968-hšst-ak--41/_view,1968-12-03 - 1968-12-04,
data/1968/prot-1968--fk--021.xml,https://betalab.kb.se/prot-1968--fk--21/_view,1968-05-02 - 1968-05-03,
data/1969/prot-1969--ak--014.xml,https://betalab.kb.se/prot-1969--ak--14/_view,1969-03-27 - 1969-03-28,
data/1969/prot-1969--fk--039.xml,https://betalab.kb.se/prot-1969-hšst-fk--39/_view,1969-12-02 - 1969-12-03,
data/1970/prot-1970--ak--037.xml,https://betalab.kb.se/prot-1970-hšst-ak--37/_view,1970-11-10 - 1970-11-13,
data/1970/prot-1970--fk--012.xml,https://betalab.kb.se/prot-1970--fk--12/_view,1970-03-19 - 1970-03-20,
data/1971/prot-1971--074.xml,https://betalab.kb.se/prot-1971--74/_view,1971-04-29 - 1971-04-30,
data/1972/prot-1972--006.xml,https://betalab.kb.se/prot-1972--6/_view,1972-01-18 - 1972-01-21,
data/1973/prot-1973--037.xml,https://betalab.kb.se/prot-1973--37/_view,1973-03-06 - 1973-03-07,
data/1974/prot-1974--101.xml,https://betalab.kb.se/prot-1974--101/_view,1974-10-16 - 1974-10-18,
data/1975/prot-1975--036.xml,https://betalab.kb.se/prot-1975--36/_view,1975-03-13 - 1975-03-18,
data/197576/prot-197576--117.xml,https://betalab.kb.se/prot-197576--117/_view,1976-05-05,
data/197677/prot-197677--046.xml,https://betalab.kb.se/prot-197677--46/_view,1976-12-15,
data/197778/prot-197778--125.xml,https://betalab.kb.se/prot-197778--125/_view,1978-04-20,
data/197879/prot-197879--099.xml,https://betalab.kb.se/prot-197879--99/_view,1979-03-08 - 1979-03-13,
data/197980/prot-197980--158.xml,https://betalab.kb.se/prot-197980--158/_view,1980-05-30 - 1980-06-02,
data/1980/prot-1980-urtima-005.xml,https://betalab.kb.se/prot-1980-urtima-5/_view,1980-09-04 - 1980-09-05,
data/198081/prot-198081--024.xml,https://betalab.kb.se/prot-198081--24/_view,1980-11-10 - 1980-11-14,
data/198182/prot-198182--097.xml,https://betalab.kb.se/prot-198182--97/_view,1982-03-11 - 1982-03-16,
data/198283/prot-198283--073.xml,https://betalab.kb.se/prot-198283--73/_view,1983-02-03,
data/198384/prot-198384--122.xml,https://betalab.kb.se/prot-198384--122/_view,1984-04-11,
data/198485/prot-198485--113.xml,https://betalab.kb.se/prot-198485--113/_view,1985-04-10,
data/198586/prot-198586--032.xml,https://betalab.kb.se/prot-198586--32/_view,1985-11-20,
data/198687/prot-198687--045.xml,https://betalab.kb.se/prot-198687--45/_view,1986-12-08 - 1986-12-09,
data/198788/prot-198788--048.xml,https://betalab.kb.se/prot-198788--48/_view,1988-01-11 - 1988-01-15,
data/198889/prot-198889--063.xml,https://betalab.kb.se/prot-198889--63/_view,1989-02-06 - 1989-02-08,
data/198990/prot-198990--116.xml,https://betalab.kb.se/prot-198990--116/_view,1990-05-07,
data/199091/prot-199091--124.xml,,,missing
data/199192/prot-199192--086.xml,,,missing
data/199293/prot-199293--127.xml,https://betalab.kb.se/prot-199293--127/_view,,missing
data/199394/prot-199394--073.xml,,,missing
data/199495/prot-199495--032.xml,http://data.riksdagen.se/fil/DF0F601E-79EB-4311-AAAC-77A4011EEB88#page=1,1994-11-30,
data/199596/prot-199596--039.xml,http://data.riksdagen.se/fil/E092044C-BA72-406E-9477-63B3E07903EF#page=1,1995-12-15,
data/199697/prot-199697--010.xml,http://data.riksdagen.se/fil/F53CD70F-D454-44E1-9B53-9C8449F98200#page=1,1996-10-04,
data/199798/prot-199798--079.xml,http://data.riksdagen.se/fil/4888C0E2-49E6-41FE-9E4F-20EABD9ED427#page=1,1998-03-12,
data/199899/prot-199899--109.xml,http://data.riksdagen.se/fil/DE8FEE49-9E47-4DE7-A87A-F65D9972B209#page=1,1999-06-14,
data/19992000/prot-19992000--071.xml,http://data.riksdagen.se/fil/11D0A087-D45B-468A-98FD-BFDF4AC19CEF#page=1,2000-02-23,
data/200001/prot-200001--035.xml,http://data.riksdagen.se/fil/8408DBDC-02E5-4010-A512-B68DEE244026#page=1,2000-11-28,
