id,protocol,page_number,text,merge_type
i-9fbuqsLVM7drbHkoaShMLJ,prot-1970--ak--14.xml,94.0,Punkten 7 [SPLIT]Utskottets hemställan bifölls.,title_note
i-RSvuvdF8JVe81HWRrPkXUR,prot-1970--ak--14.xml,41.0,Mom. 1 [SPLIT]Utskottets hemställan bifölls.,title_note
i-G8ozjPu7kjhMCB7pa854Mi,corpus/protocols/1975/prot-1975--24.xml,50.0,"Torsdagen den 13 februari [SPLIT]Herr Aspling, socialminister 10 ""Bengtsson, arbetsmarknadsminister 16 ” Blomkvist (s) 11 ""> Carlsson, bostadsminister 12, 13 ” > Fågelsbo (c) 12 Gustafsson, kommunminister 14,16 ""> Hörberg (fp) 9, 10 Lorentzon, (vpk) 6, 8 ” Lundkvist, jordbruksminister 5, 7, 8 ""Norling, kommunikationsminister 12 ”— Olsson i Stockholm (vpk) 13, 14 Rosqvist (s) 6 Sträng, finansminister 9, 10 Svensson i Kungälv (s) 15",title_note
i-EEfjLFa3P81tpoj3sdCj2Q,corpus/protocols/1922/prot-1922--fk--26.xml,93.0,"Punhklerna 3, 4, 5 och 8. [SPLIT]Lades till handlingarna.",title_note
i-T1e2vRHHg584aU6cEaCbKF,corpus/protocols/1933/prot-1933--fk--7.xml,1.0,Utskottets i betänkandet gjorda anmälan. [SPLIT]Lades till handlingarna.,title_note
i-VojGSrTix7UjJpSsrTwCqj,corpus/protocols/1920/prot-1920--fk--22.xml,26.0,Det av utskottet tillstyrkta lagförslaget. [SPLIT]Lagförslag ang. rätt för,note_margin
i-2JHLTsso1MPKgVNoRppJpK,prot-1970--ak--14.xml,94.0,"87 [SPLIT]Föredrogs jordbruksutskottets utlåtande nr 10, i anledning av Kungl. Maj:ts i statsverkspropositionen gjorda framställning angående Främjande i allmänhet av fiskerinäringen för budgetåret 1970/71 jämte motioner.",title_note
i-2YdEVdEhyw89qVsdWVFcMF,corpus/protocols/1928/prot-1928--ak--13.xml,31.0,"78. Böter, som ådömas enligt denna lag, tillfalla kronan. Saknas tillgång till böternas fulla gäldande, skola de förvandlas enligt allmänna strafflagen.",
i-FpJKzdj7cwCUb3imCSUjPV,corpus/protocols/1921/prot-1921--fk--38.xml,31.0,Övriga delar av nu ifrågavarande förordmngsförslag. [SPLIT]Godkändes.,title_note
i-BQ4dUUiy4mX3gerrCq9ojw,corpus/protocols/198182/prot-198182--134.xml,77.0,"1981/82 + [SPLIT]Måndagen den 3 maj [SPLIT]134-137 [SPLIT]Talmannen 81 Alsén, Hans (s) 83, 91, 93 Andersson, John (vpk) 95, 98, 99 Dahlgren, Anders, jordbruksminister 94, 98 Elmstedt, Claes, kommunikationsminister 82, 88, 92",note_margin
i-YKGrZfNVYF2bpWb9ec6oQZ,corpus/protocols/1943/prot-1943--ak--27.xml,129.0,--Punkterna 14:0) och 16:0). [SPLIT]Lades till handlingarna.,title_note
i-NjrRRReCMYYm3PUNoiUCGp,prot-1965--fk--16.xml,135.0,Punkterna 41—44 [SPLIT]Vad utskottet hemställt bifölls.,title_note
i-MToceA7sELiuQVkhzTJ4cs,prot-198990--102.xml,26.0,Mom. 15 (handläggningstiden i skattemål) [SPLIT]Utskottets hemställan bifölls med 147 röster mot 123 för reservation 10 av Britta Bjelle m.fl.,title_note
i-MUqb5fajffFCFVPFH8Ddpq,prot-1962--ak--4.xml,0.0,Onsdagen den 24 januari em. [SPLIT]Vid remiss av statsverkspropositionen m. m. (forts.) «--.---++--+>-+>+>+ 88,title_note
i-gz4YWrQ9oubpudk7UK4Gx,corpus/protocols/1928/prot-1928--ak--22.xml,35.0,"befattningsdorkapulea [SPLIT]Slutligen blevo på herr förste vice talmannens därå framställda proposition [SPLIT]expeditioner [SPLIT]Utskottets hemställan i mom. c)—n) likaledes av kammaren bifallna. [SPLIT]m. m. (Forts.) [SPLIT]8 15. [SPLIT]Vid nu skedd föredragning av statsutskottets utlåtande, nr 65, i anledning av Kungl. Maj:ts proposition angående anslag till folksanatorierna m. m. Jämte en i ämnet väckt motion, biföll kammaren utskottets däri gjorda hemställan. [SPLIT]$ 16. [SPLIT]de AR ad [SPLIT]Härpå upptogs till behandling statsutskottets utlåtande, nr 66, i anledning [SPLIT]drift! boule [SPLIT]av Kungl. Maj:ts proposition angående grunder för statsbidrag till uppföran-",note_margin
i-ALLTceg5pBVoGMjDvbtbBu,prot-1970--ak--14.xml,111.0,"8 14 [SPLIT]Anmäldes och godkändes riksdagens kanslis förslag dels till riksdagens skrivelse, nr 107, till Konungen angående val av ombud i Europarådets rådgivande församling med suppleanter; dels till riksdagens förordnanden, nr 108—113, för herr Kaj Björk, > Gösta Bohman, > Bertil Ohlin, fröken Astrid Bergegren, herr Stig Alemyr och >» Gunnar Hedlund att vara ombud i Europarådets rådgivande församling;",title_note
i-XMNNPH3UVmvwdUpj9n5mu1,corpus/protocols/198586/prot-198586--165.xml,2.0,"38 [SPLIT]Fortsattes behandlingen av finansutskottets betänkande 1985/86:30, skatteutskottets betänkande 1985/86:50, finansutskottets betänkanden 1985/86:29 och 34 samt skatteutskottets betänkande 1985/86:38 (forts. från prot. 164).",title_note
i-9ncLGAYzsyv56ae8hoDF5S,corpus/protocols/1932/prot-1932--ak--50.xml,72.0,"Denna hemställan bifölls. [SPLIT]$ 5. [SPLIT]Herr Weibull avlämnade två av honom m. fl. undertecknade motioner, nämligen: nr 547, i anledning av Kungl. Maj:ts proposition, nr 255, angående vissa åtgärder för stödjande av produktionen av mjölk och mejeriprodukter; och nr 548, i anledning av samma proposition. Dessa motioner bordlades. [SPLIT]$ 6. [SPLIT]Till bordläggning anmäldes:",title_note
i-R1kGjNBvrbeusEZtetsmY,prot-198990--102.xml,2.0,Mom. 4 (jävssituationer) [SPLIT]Utskottets hemställan — som ställdes mot reservation 4 av Sigge Godin och Barbro Sandberg — bifölls med acklamation.,title_note
i-53bbdpHQF9Mtv83rqzDnA8,corpus/protocols/1927/prot-1927--fk--36.xml,66.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-WL5166cErakuYXa3B3e21h,corpus/protocols/198283/prot-198283--122.xml,20.0,883 Anmäldes och bordlades [SPLIT]Civilutskottets betänkande 1982/83:26 Bostadsbyggandets finansiering m. m. 98 Meddelande om fråga Meddelades att följande fråga framställts den 15 april 1982/83:431 av Karin Ahrland (fp) till finansministern om skattemässiga,title_note
i-RTDETa8TKT5YcVsXfy9sJf,corpus/protocols/1920/prot-1920--ak--76.xml,25.0,Överskriften till 1 $; 2—5 $$ med tillhörande överskrift. [SPLIT]Godkändes.,title_note
i-88bacSERX6dsnPsBXeu2aq,prot-198485--125.xml,22.0,Måndagen den 22 april [SPLIT]Talmannen 75,title_note
i-3UzAbBtKU1oVM1Jevt9Z7H,prot-1970--ak--14.xml,94.0,Punkten 8 [SPLIT]Lades till handlingarna.,title_note
i-5sYKGAUW8v64nErJLjtqnx,corpus/protocols/1926/prot-1926--ak--41.xml,6.0,"S 4. [SPLIT]Föredrogs konstitutionsutskottets memorial, nr 31, angående arvode åt häradshövdingen H. Kylander, vilken inom utskottet biträtt vid behandlingen av vissa frågor; och biföll kammaren därvid utskottets heniställan.",title_note
i-Hibk3NL12RdGrsFLEJkssf,prot-1971--91.xml,51.0,Punkterna 1-7 [SPLIT]Kammaren biföll vad utskottet i dessa punkter hemställt.,title_note
i-QXPgyApP5EgpJtUQHGGbNC,corpus/protocols/1920/prot-1920--fk--35.xml,52.0,Övriga delar av nu föredragna lagförslag. [SPLIT]Godkändes.,title_note
i-YasdnaRRdAEiS7p9LZTMBB,corpus/protocols/1931/prot-1931--ak--35.xml,153.0,"St [SPLIT]Anmäldes och godkändes följande förslag till riksdagens skrivelser till Konungen, nämligen:",title_note
i-VmZC2ZuWj7ovui16kHcoVC,corpus/protocols/1923/prot-1923--fk--14.xml,90.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-CWPXWHLMwfJSWDizYuEdxh,corpus/protocols/1962/prot-1962--ak--2.xml,2.0,81 [SPLIT]Företogs val av fyra ledamöter i talmanskonferensen; och blev därtill,title_note
i-FiSzxnaEfzLj9WtAkHRRYv,prot-1970--ak--14.xml,2.0,"Fredagen den 3 april [SPLIT]Jordbruksutskottets utlåtande nr 1, rörande utgifterna på driftbudgeten",title_note
i-HThkNmhx7VLYPTupYkPrpz,prot-1962--ak--4.xml,118.0,88 [SPLIT]Föredrogs var för sig följande å bordet vilande motioner; och hänvisades därvid,title_note
i-GfmDx2u9E3ixcDD6yzMLWf,prot-198990--102.xml,50.0,Mom. 7 (arbete med utrotningshotade arter) [SPLIT]Utskottets hemställan — som ställdes mot reservation 3 av Åsa Domeij — bifölls med acklamation.,title_note
i-Woene1zbdVXJjLKEz2DUoo,corpus/protocols/1971/prot-1971--61.xml,91.0,"Propositioner gavs på bifall till dels utskottets hemställan, dels motionen nr 833, och förklarades den förra propositionen vara med övervägande ja besvarad. [SPLIT]$& 3 [SPLIT]Föredrogs kulturutskottets betänkande nr 7 i anledning av motioner om bidrag från kyrkofonden till bestridande av avlöningsförmåner för kyrkovaktmästare.",title_note
i-DZcEHZ4G7DsXcHaWvAz8L3,corpus/protocols/1928/prot-1928--fk--34.xml,68.0,Övriga delar av utskottets förslag till kommunalskattelag. [SPLIT]Godkändes.,title_note
i-CmVcbS6Hjzgnv5DCDZa7K2,prot-198990--102.xml,53.0,Övriga moment [SPLIT]Utskottets hemställan bifölls.,title_note
i-UitTKVwPPwYy36umsX6ZGh,prot-1971--91.xml,34.0,§& 7 [SPLIT]Föredrogs utbildningsutskottets betänkanden:,title_note
i-WEN8qVnGCPgd21awJf85SG,prot-1970--ak--14.xml,63.0,Punkterna 25—28 [SPLIT]Vad utskottet hemställt bifölls.,title_note
i-5AccH63HkGKd6sUbC17RCe,corpus/protocols/1942/prot-1942--ak--22.xml,96.0,Övriga delar av utskottets förslag till rättegångsbalk. [SPLIT]Godkändes.,title_note
i-9hC5zx1mgxEdGSzZhBbycH,corpus/protocols/1935/prot-1935--fk--22.xml,33.0,"Ja — 56; Nej — 76. Därjämte hade 3 ledamöter tillkännagivit, att de avstode från att rösta. [SPLIT]2—7 $$. [SPLIT]Godkändes. [SPLIT]8 $. [SPLIT]Denna paragraf hade följande lydelse: (i utskottets förslag:) (i herr Löfgrens reservationsvis framställda förslag:) Tillverkar någon utan behörigt till- Tillverkar någon olovligen krigs-",title_note
i-VFahJWF4eeNbCcWo16WWzq,corpus/protocols/1928/prot-1928--ak--35.xml,3.0,"Tredje omröstningen: [SPLIT](enligt bankoutskottets memorial nr 36). [SPLIT]»Den, som i likhet med första kammaren vill bifalla såväl Kungl. Maj:ts",
i-LeRzHSZr4EWDc2wzhWpwcQ,prot-1970--ak--14.xml,32.0,§ 15 [SPLIT]Föredrogs och lades till handlingarna styrelsens för riksdagens förvaltningskontor å bordet vilande berättelse för dess verksamhet under år 1969.,title_note
i-Gc2ke7zMuqkZZTqf69WWsU,prot-1940--ak--20.xml,2.0,§ 11. [SPLIT]Föredrogos vart efter annat: bankoutskottets utlåtanden:,title_note
i-6xezdvK6ZL5qQDauhLPLWg,prot-198990--102.xml,4.0,Mom. 17 (omlokalisering av nämnden för statens gruvegendom) [SPLIT]Utskottets hemställan bifölls med 222 röster mot 46 för reservation 10 av Per-Ola Eriksson m.fl. 2 ledamöter avstod från att rösta.,title_note
i-UfZcUV5NC98vPi2WLXatLc,corpus/protocols/1970/prot-1970--ak--31.xml,132.0,:- -8 13 [SPLIT]Föredrogs vart för sig,title_note
i-Ke3u6cFFyU61KFS3hPq2BY,prot-198990--102.xml,52.0,Mom. 52 (översyn av bidraget) [SPLIT]Utskottets hemställan — som ställdes mot reservation 21 av Annika Åhnberg — bifölls med acklamation.,title_note
i-HDCs2LqRkTbJFmFX2aAsMh,corpus/protocols/1936/prot-1936--fk--28.xml,76.0,"Ja — 38; Nej — 27. Därjämte hade 9 ledamöter tillkännagivit, att de avstode från att rösta. [SPLIT]131—170 $$. [SPLIT]Godkändes. [SPLIT]171 $.",title_note
i-WTpD7BUZMDXWQVnaxGP6nK,prot-1970--ak--14.xml,112.0,8 20 [SPLIT]Justerades protokollsutdrag. Kammarens ledamöter åtskildes härefter kl. 16.04.,title_note
i-3tuw9ApKBvoLgvX53dD4aW,prot-1970--ak--14.xml,73.0,Punkterna 38—41 [SPLIT]Vad utskottet hemställt bifölls.,title_note
i-Nnoa1qX9jGgWvniSZ572S1,corpus/protocols/1946/prot-1946--ak--29.xml,45.0,Övriga delar av förslaget till lag angående ändring i lagen om semester. [SPLIT]Godkändes.,title_note
i-3j6VCkv4T2px5Ht5pZMewG,corpus/protocols/1921/prot-1921--ak--24.xml,134.0,3 6. [SPLIT]Slutligen föredrogos vart för sig:,title_note
i-3ULrw96YxBJspAVSCXQZd6,corpus/protocols/1937/prot-1937--ak--4.xml,52.0,"S 6. [SPLIT]Avgåvos följande motioner, nämligen av:",title_note
i-XWG1bzzb9hyu91oo7LaN8q,corpus/protocols/1944/prot-1944--fk--9.xml,25.0,f) att motionen — — — riksdagen bifallas. [SPLIT]Mom. a).,title_note
i-R4K4WwgVKZLeXkuHJ619YW,corpus/protocols/1934/prot-1934--fk--43.xml,139.0,"Anslag Hu [SPLIT]Punkten 2. [SPLIT]NY anstefartyg för [SPLIT]I denna punkt hade utskottet, i enlighet med Kungl. Maj:ts i ämnet fram-",note_margin
i-5EMpwtoBwwHnkMnVKC9Zdu,prot-198990--102.xml,26.0,Övriga moment [SPLIT]Utskottets hemställan bifölls.,title_note
i-U6M4hhWjaWRbQPPoiYE7Xw,corpus/protocols/1939/prot-1939--ak--36.xml,115.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-RnXDZjBo9LQ3Y7y2vTY786,corpus/protocols/198182/prot-198182--137.xml,23.0,"1981/82 + [SPLIT]Måndagen den 3 maj [SPLIT]134-137 [SPLIT]Talmannen 81 Alsén, Hans (s) 83, 91, 93 Andersson, John (vpk) 95, 98, 99 Dahlgren, Anders, jordbruksminister 94, 98 Elmstedt, Claes, kommunikationsminister 82, 88, 92",note_margin
i-MxUcAdG7292nNBynvG2JKr,corpus/protocols/198889/prot-198889--78.xml,14.0,Överläggningen var härmed avslutad. [SPLIT]48 [SPLIT]På förslag av tredje vice talmannen beslöt kammaren kl. 10.44 att,title_note
i-YMMdbyJD8Vu369TLg1Nh3r,prot-1970--ak--14.xml,41.0,Punkten 12 [SPLIT]Utskottets hemställan bifölls.,title_note
i-WXYAGWQvQvuxvuRfFaZmZy,corpus/protocols/1924/prot-1924--fk--43.xml,41.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-Ug46BXu6Bm6Sin1tgYssdz,corpus/protocols/1956/prot-1956-höst-ak--31.xml,82.0,I enlighet härmed föredrogs först punkten A. 1) Utskottets förslag till lag angående ändring i lagen om hyresreglering m. m.,
i-8VvnP7oY479Ft2peJpZz8T,prot-1970--ak--14.xml,57.0,Punkten 23 [SPLIT]Utskottets hemställan bifölls.,title_note
i-Eq3Lb9PqjkWCudC18hnw8P,corpus/protocols/1921/prot-1921--ak--32.xml,29.0,"Äng Te [SPLIT]Punkten 233, [SPLIT]angående anslag för understödjande av idrotten. [SPLIT]stödjande a . . idrotten. [SPLIT]Under punkten 234 av förevarande huvudtitel hade Kungl. Maj:t",note_margin
i-9ygUGjdq4T4tBwrxc8UEXY,prot-198182--15.xml,44.0,5§ Föredrogs och hänvisades [SPLIT]Motionerna,title_note
i-F1o8qiD5QMv4omSHW9eziT,corpus/protocols/1942/prot-1942--ak--21.xml,29.0,"IX [SPLIT]Föredrogos, men bordlades åter statsutskottets utlåtanden nr 136—152, bevillningsutskottets betänkanden nr 30 och 31, bankoutskottets utlåtanden nr 52 och 53, första lagutskottets utlåtanden nr 48 och 49, andra lagutskottets utlåtanden nr 344—37, jordbruksutskottets memorial nr 41 och 42, andra särskilda utskottets utlåtande nr 2 samt andra kammarens tredje tillfälliga utskotts utlåtande nr 7.",title_note
i-3UdpHLmDVp3ZxXi1Tzbnxq,corpus/protocols/1931/prot-1931--fk--37.xml,116.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-AM6FC2fUBXSoMN5kDNv9Jv,corpus/protocols/1921/prot-1921--fk--40.xml,140.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-E3yoz1xC1ApCcKaxuyVoH8,corpus/protocols/1943/prot-1943-höst-fk--35.xml,117.0,"Ja — 13; Nej — 42. Därjämte hade 3 ledamöter tillkännagivit, att de avstode från att rösta. [SPLIT]78. Godkändes. [SPLIT]8 S.",title_note
i-5aQWfQh3qAjdBnwz8Vvzo9,prot-1965--fk--16.xml,137.0,Punkten 93 [SPLIT]Lades till handlingarna.,title_note
i-ULcw5e9hwbhLApf67xG1Uu,corpus/protocols/1934/prot-1934--fk--17.xml,67.0,”Puwnkten 200. [SPLIT]Lades till handlingarna.,title_note
i-6Y9B61TAHZ6GRrG6w1F7R5,corpus/protocols/198182/prot-198182--136.xml,27.0,"1981/82 + [SPLIT]Måndagen den 3 maj [SPLIT]134-137 [SPLIT]Talmannen 81 Alsén, Hans (s) 83, 91, 93 Andersson, John (vpk) 95, 98, 99 Dahlgren, Anders, jordbruksminister 94, 98 Elmstedt, Claes, kommunikationsminister 82, 88, 92",note_margin
i-Ah973HCwXQbK1traHWdXfz,corpus/protocols/1943/prot-1943--ak--24.xml,72.0,Övriga delar av utskottets förslag till lag om allmänna vägar. [SPLIT]Godkändes.,title_note
i-LAnhAteHYo352z5Q175AsB,prot-1955--ak--13.xml,39.0,Punkten 2 [SPLIT]Utskottets hemställan bifölls. [SPLIT]$ 20,title_note
i-KjSihTHXoyYhuzVJtBTa2c,prot-1970--ak--14.xml,36.0,Denna hemställan bifölls. [SPLIT]8 25 Meddelande om enkla frågor,title_note
i-6bxWBSw4oYPEeoJrQodYJv,prot-198990--102.xml,25.0,Mom. 7 (principen för nämndemannaersättning) [SPLIT]Utskottets hemställan — som ställdes mot reservation 6 av Ingbritt Irhammar och Anders Svärd — bifölls med acklamation.,title_note
i-XAL97kHEEw7vkJDu188t18,corpus/protocols/1932/prot-1932--ak--31.xml,1.0,Utskottets anmälningar jämlikt $ 107 regeringsformen. Ingressuttalandet. [SPLIT]Lades till handlingarna.,title_note
i-7Zsi6uc9ND3QNJus1AxWJf,prot-198990--102.xml,1.0,Mom. 15 (lokal organisation för arbetslivsfondens verksamhet m.m.) [SPLIT]Utskottets hemställan — som ställdes mot reservation 5 av Sigge Godin och Barbro Sandberg — bifölls med acklamation.,title_note
i-DJsRHVvAVkSDxUYNEhX1v5,prot-1970--ak--14.xml,93.0,Mom. 1 [SPLIT]Utskottets hemställan bifölls.,title_note
i-QAHRUdboFdguSASoRCeHjf,prot-1970--ak--14.xml,70.0,Punkterna 34—36 [SPLIT]Vad utskottet hemställt bifölls.,title_note
i-4Pmhr59UnUrzQBywrhq3La,corpus/protocols/1947/prot-1947--fk--36.xml,66.0,Utskottets hemställan i punkten A. [SPLIT]Förklarades besvarad genom kammarens beslut med avseende å lagförslaget.,title_note
i-MEAX1d4pHmu8fiVLuxFjYk,prot-198990--102.xml,52.0,Mom. 54 (utbildning av fiskare) [SPLIT]Utskottets hemställan bifölls med 242 röster mot 29 för reservation 22 av Lars Ernestam och Bengt Rosén.,title_note
i-KtWLiQHqNdi6XnZ8Ed6QDS,corpus/protocols/1944/prot-1944--fk--26.xml,47.0,Utskottets hemställan i punkten A. [SPLIT]Förklarades besvarad genom kammarens beslut mel avseende å lagförslagen.,title_note
i-NaynmEaoFUYabHFpCQMMF3,corpus/protocols/1920/prot-1920--fk--12.xml,38.0,"Ja — 31; Nej — 57. [SPLIT]Punkten A, såvitt beträffade finansdepartementet. [SPLIT]Ang. ändrad",note_margin
i-SAYGnw7RqBiy8hMU97xxsr,corpus/protocols/1965/prot-1965--ak--2.xml,18.0,Si [SPLIT]Företogs val av åtta suppleanter för,title_note
i-QsBpVtxACojFKfQ6CrttQ9,prot-1970--ak--14.xml,37.0,Punkterna 1—10 [SPLIT]Vad utskottet hemställt bifölls.,title_note
i-FssFMzgbP5nwq7qYGLMuZt,prot-1971--91.xml,56.0,(Siffrorna avser sida i protokollet) [SPLIT]Onsdagen den 19 maj,title_note
i-6MwJHSiNoTBhZc125J8J58,corpus/protocols/1943/prot-1943--fk--24.xml,49.0,De under 2—5 upptagna lagförslagen. [SPLIT]Godkändes.,title_note
i-QAdX9LAmM97vRmvmHjQ1VN,corpus/protocols/1975/prot-1975--35.xml,47.0,"Utskottets hemställan i övrigt [SPLIT]Nr 35 [SPLIT]Propositioner gavs på bifall till dels utskottets hemställan, dels re- [SPLIT]Onsdagen den [SPLIT]servationen av fru tredje vice talmannen Nettelbrandt och herr Åberg [SPLIT]12 mars 1975 [SPLIT]i motsvarande del, och förklarades den förra propositionen vara med [SPLIT]Sr KsNr tr [SPLIT]övervägande ja besvarad. Sedan herr Ahlmark begärt votering upplästes [SPLIT]Förvärv av aktier i [SPLIT]och godkändes följande voteringsproposition: [SPLIT]AB Pripps Bryggerier [SPLIT]Den som vill att kammaren bifaller utrikesutskottets hemställan i övrigt i betänkandet nr 2 röstar ja, den det ej vill röstar nej. Vinner nej har kammaren bifallit reservationen av fru tredje vice talmannen Nettelbrandt och herr Åberg i motsvarande del.",note_margin
i-BoDyjQ2j8H2WP5YiD5r3Gt,prot-1971--91.xml,52.0,"Punkten 9 [SPLIT]Utskottets hemställan bifölls,",title_note
